City,Latitude,Longitudes,Elevation,Date,Precipitation,Temperature,HCHO_reading
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-10-30,0.0,60,0.0001104813302900478
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-01-17,0.43,59,0.00014362381377136535
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-06-22,0.15,62,5.518579081966943e-05
Colombo Proper,6.9,79.867,7.0,2021-08-11,0.0,83,0.00016933241226934536
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-05-22,0.0,64,0.00010509822133920594
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-07-13,0.21,60,0.00010250270604240449
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-04-29,0.34,60,0.00014825610697197404
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-08-27,0.0,64,6.45475873896711e-05
Colombo Proper,6.9,79.867,7.0,2021-05-07,0.23,82,0.00034027148229335213
Colombo Proper,6.9,79.867,7.0,2022-09-09,0.0,81,0.00020113650784048167
Colombo Proper,6.9,79.867,7.0,2023-05-26,0.0,86,1.3122864808040422e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-07-25,0.01,60,1.9101530941134346e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-08-02,0.86,60,2.545046303157834e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-12-28,0.0,56,0.00014604947419375516
Nuwara Eliya Proper,6.967,80.767,1880.0,2022-09-28,0.0,57,0.0002564065213609418
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-07-13,0.0,62,6.488189791104122e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2023-08-07,0.32,63,0.0001374933267521537
Colombo Proper,6.9,79.867,7.0,2021-07-22,0.02,83,8.984740052648098e-05
Colombo Proper,6.9,79.867,7.0,2022-01-14,0.0,83,0.0002583368599955235
Colombo Proper,6.9,79.867,7.0,2022-03-03,0.0,86,0.00019829119750234357
Colombo Proper,6.9,79.867,7.0,2022-04-26,0.17,85,0.00014547634921646126
Colombo Proper,6.9,79.867,7.0,2022-06-10,0.17,84,0.00013366630534901788
Colombo Proper,6.9,79.867,7.0,2023-06-27,0.04,82,8.106108062578559e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2019-05-11,0.0,64,8.896596670445717e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-05-19,1.55,60,0.00020562780973596128
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-07-30,0.21,60,2.306961349766184e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2020-09-11,0.08,60,9.968695978629445e-05
Nuwara Eliya Proper,6.967,80.767,1880.0,2021-03-26,0.07,62,0.000110013498877904
